指标编号,指标名称,模块,性质,经济含义/定义,单位,统计对象/范围,频率,时点/期间,存量/流量,价格口径,当期/累计,来源编号,原文定位,历史覆盖证据,更新规律,口径断点/修订,公式（文字定义）,输入指标,适用条件,对应体系,问题编号,可能解释,配套证据,误读风险,共享证据组,维度范围,原文链接
A062,工业生产者出厂价格指数PPI及涨跌幅,工业销售价格,公开发布,工业产品第一次出售时出厂价格变化的指数及官方同比、环比涨跌幅。,%（涨跌幅）；指数点（指定对比期=100）,工业企业产品第一次出售价格,月度,比率,价格,不适用,当期,A_S26,主要数据表一、三；附注1—6,A_S26明确按月表；A_S29确认月度发布制度；未核验完整长期逐月数据。,月度,2026年1月由2020基期转2025基期；分类、权数、样本更新（A_S25/A_S26/A_S28）；不得把基期轮换平均影响逐月固定扣除。,原文发布,,原始月报值为同比/环比涨跌幅，分别存字段或观测行；对应比较期=100指数可按100+涨跌幅透明转换，不能冒充2025定基指数或原始商品单价。累计平均采用官方发布；不把12月同比作年度平均。,K；M；S,K1；K3；M1；S4,工业销售价格环境，配合产量、收入和盈利分析。,工业购进价格；工业增加值；利润；PMI出厂价格,不是工业产量或所有企业收入增速；PPI-CPI差不等于企业利润率；不能用PMI出厂价格扩散指数替代。,EG-A_S26,全国：已覆盖（工业企业产品第一次出售价格）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（生产资料：采掘、原材料、加工；生活资料：食品、衣着、一般日用品、耐用消费品；煤炭开采和洗选业；石油和天然气开采业；医药制造业；汽车制造业；计算机通信和其他电子设备制造业；电力热力生产和供应业）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202602/t20260211_1962587.html
A063,工业生产者购进价格指数及涨跌幅,工业投入价格,公开发布,工业企业购入中间投入产品价格变化的指数及官方同比、环比涨跌幅。,%（涨跌幅）；指数点（指定对比期=100）,工业企业中间投入品采购,月度,比率,价格,不适用,当期,A_S26,主要数据表二；附注1—4,A_S26含购进指数同月同比环比原值；A_S29价格月度发布制度。,月度,同一发布的PPI自2026年1月转2025基期；附注基期声明以PPI称谓表述，购进指数单独基期、权重和同基回溯细节本轮未取得，跨期必须再核具体统计表注。,原文发布,,原始月报值为同比/环比涨跌幅，分别存字段或观测行；对应比较期=100指数可按100+涨跌幅透明转换，不能冒充2025定基指数或原始商品单价。累计平均采用官方发布；不把12月同比作年度平均。,K；M；S,K1；K3；M1；S4,工业中间投入成本的价格变化。,PPI；企业利润率；原材料采购量；汇率,不覆盖工资、融资等全部成本；指数篮子不同于PPI，差值不能直接作为利润率；不是原材料采购额。,EG-A_S26,全国：已覆盖（工业企业中间投入品采购）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（燃料动力；黑色金属材料；有色金属材料及电线；化工原料；木材及纸浆；建筑材料及非金属；其他工业原材料及半成品；农副产品；纺织原料）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202602/t20260211_1962587.html
B001,规上工业营业收入,工业经营与效率,公开发布,生产经营形成的主营与其他业务收入合计,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,期间,流量,名义,累计,B_S01,附注一2；表1、表3,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；F；I；K；M；S,K1；M4；F2；I3；S4；D1,市场实现收入规模,价格、产销量、回款,不是增加值或现金流；企业间交易可重复。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B002,规上工业营业成本,工业经营与效率,公开发布,与营业收入相配比的主营和其他业务成本,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,期间,流量,名义,累计,B_S01,附注一3；表1、表3,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；F,F2；D1,经营成本压力,营业收入、原材料价格,成本与费用分列；不可当全部社会成本。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B003,规上工业利润总额,工业经营与效率,公开发布,报告期生产经营等各项收入扣除耗费后的税前盈亏,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,期间,流量,名义,累计,B_S01,附注一1；表1、表3,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；F；I；K；M；S,K1；M4；F2；I3；S4；D1,盈利及自筹资金能力线索,收入、成本、应收、行业结构,不是全国企业利润、净利润、留存收益或现金流。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B004,规上工业资产总计,工业经营与效率,公开发布,工业法人控制并预期带来经济利益的资产账面总计,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,时点,存量,名义,期末,B_S01,正文年末；附注一4,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,F,F2,资产规模分母,负债、权益、周转率,账面资产不是市场价值或可立即变現资金。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B005,规上工业负债合计,工业经营与效率,公开发布,工业法人承担的现时义务合计,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,时点,存量,名义,期末,B_S01,正文年末；附注一5,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,F,F1；F2,债权性与经营性负债压力起点,资产、偿债现金流、期限结构,含经营应付；不是全部有息债务，不等于风险。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B006,规上工业所有者权益合计,工业经营与效率,公开发布,资产扣除负债后的剩余权益,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,时点,存量,名义,期末,B_S01,正文年末；附注一6,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；F,F2；D1,账面损失缓冲,资产、负债、利润,不等于当年留存收益；不能从变动直接读投资资金来源。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B007,规上工业应收账款,工业经营与效率,公开发布,按摊余成本计量的销售及服务等经营应收款,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,时点,存量,名义,期末,B_S01,正文年末；附注一7,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；F,F2；D1,收入到回款之间资金占用,营业收入、回收期、账龄,余额增加不自动代表逾期坏账。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B008,规上工业产成品存货,工业经营与效率,公开发布,已完成生产验收入库或购入待售产成品商品,亿元,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,时点,存量,名义,期末,B_S01,正文年末；附注一8,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；K,K1；D1,已完工库存占款,产销率、周转天数、价格,不含全部原料/在产品；名义增加不能直接判主动补库。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B009,规上工业营业收入利润率,工业经营与效率,公开发布,利润总额与同期营业收入之比,%,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,比率,比率,不适用,累计,B_S01,表2；附注一9,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；F；I；S,F2；I3；S4；D1,收入转换为税前盈利的比例,营业收入、费用、行业结构,不是净资产收益率或资本回报率；口径相同才可比。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B010,规上工业资产负债率,工业经营与效率,公开发布,期末负债合计与期末资产总计之比,%,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,比率,比率,不适用,期末,B_S01,表2；附注一14,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,F,F2,账面杠杆程度,盈利、周转、债务期限,比例低不能排除流动性风险；变化可能来自资产重估。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B011,规上工业应收账款平均回收期,工业经营与效率,公开发布,平均应收账款/营业收入×360×累计月数/12,天,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,比率,比率,不适用,累计,B_S01,表2；附注一16,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,F,F2,回款速度,应收账款、收入、账龄,平均余额不能换成期末余额；不等于平均合同期限。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B012,规上工业产成品存货周转天数,工业经营与效率,公开发布,平均产成品存货/营业成本×360×累计月数/12,天,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,比率,比率,不适用,累计,B_S01,表2；附注一15,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,D；K；S,K1；S4；D1,成品库存资金周转,销量、成本、价格,分母为营业成本；期末库存替代平均会扭曲。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B013,规上工业每百元资产实现营业收入,工业经营与效率,公开发布,营业收入/平均资产/累计月数×12×100,元/百元资产,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,比率,比率,不适用,累计,B_S01,表2；附注一12,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,G；S,G2；G4；S4,名义资产利用效率线索,资产结构、价格、利润率,不是TFP；分母平均账面资产，不能用期末资本存量替代。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B014,规上工业人均营业收入,工业经营与效率,公开发布,营业收入/平均用工人数/累计月数×12,万元/人,年主营业务收入2000万元及以上工业法人单位,月度（1月免报）,比率,比率,不适用,累计,B_S01,表2；附注一13,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,月度（1月免报）,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。,原文发布,,同口径、同报告期；缺失不填零。,G,G2；G4,每名用工对应的名义销售收入,实际增加值、工时、外包比例,不是实际劳动生产率；价格、外包和产业结构均影响。,EG-规上工业财务,全国：已覆盖（规上工业法人合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业）；企业类型：部分覆盖（国有控股企业；股份制企业；外商及港澳台投资企业；私营企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html
B015,固定资产投资（不含农户）,资本投入,公开发布,完成建造和购置固定资产的货币工作量及相关费用,亿元,500万元及以上固定资产项目及全部房地产开发项目,月度（1月免报）,期间,流量,名义,累计,B_S02,正文首段；附注1、2,附注给出按月调查及2024年12月以来环比修订表；本次并已访问2025年1—9月发布。,月度（1月免报）,FAI不是支出法资本形成；可比基数随经济普查、制度方法和执法修订；细类多数只公开增速。,原文发布,,同口径、同报告期；缺失不填零。,D；G；K；M；S,K2；K4；M3；M4；G2；G4；S1；S4；D1,观察投资建设投入,资本形成总额、设备投资、实物投产,不等于资本形成总额；不覆盖农户和全部小额项目。,EG-B_S02,全国：已覆盖（不含农户固定资产投资）；省级：部分覆盖（东部；中部；西部；东北；北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：部分覆盖（制造业；采矿业；电力热力燃气水；交通运输仓储邮政；水利环境公共设施）；企业类型：部分覆盖（内资；港澳台投资；外商投资；国有控股；民间投资）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962326.html
B016,设备工器具购置投资增速,资本投入,公开发布,固定资产投资构成中设备工器具购置的可比名义同比,%,全国、三次产业、部分行业、登记注册类型和四大区域；未提供31省逐省值。,月度（1月免报）,比率,比率,名义,累计,B_S02,主要数据表按构成分；附注7,附注给出按月调查及2024年12月以来环比修订表；本次并已访问2025年1—9月发布。,月度（1月免报）,FAI不是支出法资本形成；可比基数随经济普查、制度方法和执法修订；细类多数只公开增速。,原文发布,,同口径、同报告期；缺失不填零。,G；I；K；S,K4；G2；I2；S4,设备更新投入信号,技术改造、利用率、生产率,购买金额增速不是产能增速或效率提升；本页未给绝对数。,EG-B_S02,全国：已覆盖（全国设备工器具购置投资）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962326.html
B017,房地产开发投资,房地产与土地,公开发布,含房屋、土地开发、公益建筑及土地购置费的开发投资,亿元,有开发经营活动的房地产开发经营法人单位,月度（1月除外）,期间,流量,名义,累计,B_S03,表1；附注1,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,原文发布,,同口径、同报告期；缺失不填零。,F；K；S,K2；F3；S4,开发建设投入,土地费用、施工、竣工、到位资金,含土地费用，不等于新增加值或住宅资本形成。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：部分覆盖（东部；中部；西部；东北）；地级：无稳定公开数据（）；行业：部分覆盖（住宅；办公楼；商业营业用房）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B018,房屋新开工面积,房地产与土地,公开发布,本期首次正式开工单位工程整栋建筑面积,万平方米,有开发经营活动的房地产开发经营法人单位,月度（1月除外）,期间,流量,不适用,累计,B_S03,表1；附注1,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,原文发布,,同口径、同报告期；缺失不填零。,F,F3,新增建设项目量,销售、施工进度、资金,不含续建复工；开工不等于当期完成工作量。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（住宅；办公楼；商业营业用房）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B019,房屋竣工面积,房地产与土地,公开发布,达到竣工验收和移交使用条件的房屋面积,万平方米,有开发经营活动的房地产开发经营法人单位,月度（1月除外）,期间,流量,不适用,累计,B_S03,表1；附注1,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,原文发布,,同口径、同报告期；缺失不填零。,F,F3,建设完工验证,新开工、交付、待售,竣工不等于售出或现金回收。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（住宅；办公楼；商业营业用房）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B020,新建商品房销售面积,房地产与土地,公开发布,本期签署正式销售合同确认的房屋建筑面积,万平方米,有开发经营活动的房地产开发经营法人单位,月度（1月除外）,期间,流量,不适用,累计,B_S03,表1与表3；附注1,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,原文发布,,同口径、同报告期；缺失不填零。,F,F3,新房购买需求量,销售额、价格指数、二手交易,非全部住房交易；合同成交非入住。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：部分覆盖（东部；中部；西部；东北）；地级：无稳定公开数据（）；行业：部分覆盖（住宅；办公楼；商业营业用房）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B021,新建商品房销售额,房地产与土地,公开发布,与销售面积同口径的合同总价款,亿元,有开发经营活动的房地产开发经营法人单位,月度（1月除外）,期间,流量,名义,累计,B_S03,表1与表3；附注1,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,原文发布,,同口径、同报告期；缺失不填零。,F,F3,合同交易规模,销售面积、到位资金、收款,销售额不是现金到账；单价受结构影响。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：部分覆盖（东部；中部；西部；东北）；地级：无稳定公开数据（）；行业：部分覆盖（住宅；办公楼；商业营业用房）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B022,商品房待售面积,房地产与土地,公开发布,期末已竣工可销售出租但尚未销售出租房屋面积,万平方米,有开发经营活动的房地产开发经营法人单位,月度（1月除外）,时点,存量,不适用,期末,B_S03,表1；附注1,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,原文发布,,同口径、同报告期；缺失不填零。,F,F3,已竣工待售库存,销售面积、竣工、城市供需,不等于全部空置、预售未售或停工库存。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（住宅；办公楼；商业营业用房）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B023,房地产开发企业本年到位资金,房地产与土地,公开发布,本期实际用于房地产开发的各类货币资金,亿元,有开发经营活动的房地产开发经营法人单位,月度（1月除外）,期间,流量,名义,累计,B_S03,表1到位资金及五项来源；附注1,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,原文发布,,同口径、同报告期；缺失不填零。,F；K,K4；F2；F3；F4,开发资金可得性,销售回款、投资、债务到期,资金来源不能与收入或新增贷款等同，分类合计还含其他资金。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（国内贷款；利用外资；自筹资金；定金及预收款；个人按揭贷款）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B024,新建商品房平均合同单价,房地产与土地,透明派生,同报告期销售额除以销售面积，亿元/万平方米乘10000换算元/平方米,元/平方米,全国全部有开发经营活动的房地产法人；表1住宅、办公楼、商业营业用房；投资销售有四区域。,月度（1月除外）,期间,价格,名义,累计,B_S03,表1新建商品房销售额、销售面积,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,月度（1月除外）,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。,B021 / B020 × 10000,B021；B020,销售面积大于0；币种、时期、用途、地域相同。,F,F2；F3,解释销售额中量和单位价款变化,70城同质价格指数、城市和用途结构,此为成交构成均价，不是恒定质量房价指数。,EG-B_S03,全国：已覆盖（房地产开发经营法人）；省级：部分覆盖（东部；中部；西部；东北）；地级：无稳定公开数据（）；行业：部分覆盖（住宅；办公楼；商业营业用房）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html
B025,一般公共预算收入,财政收支,公开发布,一般公共预算范围内税收及非税收入,亿元,全国、中央、地方合计；列税收/非税、功能支出和土地收入。,月度累计、年度,期间,流量,名义,累计,B_S04,一（一）,财政收支栏目具有月度发布序列；本页为全年执行快报，后续预算报告与决算会修订。,月度累计、年度,执行数非决算；全国收支差额不是官方赤字；基金收入不含债务筹資等收入总量项目；未核验31省。,原文发布,,同口径、同报告期；缺失不填零。,F；K,K4；F2,财政常规收入基础,税非税、中央地方、经济税基,不是全口径政府收入。,EG-B_S04,全国：已覆盖（全国汇总）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（中央；地方合计）,https://bgt.mof.gov.cn/zhuantilanmu/rdwyh/czszsj/202601/t20260130_3982923.htm
B026,一般公共预算支出,财政收支,公开发布,一般公共预算实际支出,亿元,全国、中央、地方合计；列税收/非税、功能支出和土地收入。,月度累计、年度,期间,流量,名义,累计,B_S04,一（二）,财政收支栏目具有月度发布序列；本页为全年执行快报，后续预算报告与决算会修订。,月度累计、年度,执行数非决算；全国收支差额不是官方赤字；基金收入不含债务筹資等收入总量项目；未核验31省。,原文发布,,同口径、同报告期；缺失不填零。,F；K；M；S,K4；M4；F2；F4；S2,公共支出强度与结构,收入、调入资金、功能支出,收入减支出不等于法定赤字。,EG-B_S04,全国：已覆盖（全国汇总）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（中央；地方合计）,https://bgt.mof.gov.cn/zhuantilanmu/rdwyh/czszsj/202601/t20260130_3982923.htm
