映射编号,问题编号,指标编号,指标名称,本指标观察含义,本问题机制,支持证据组合,反向证据组合,替代解释,本问题边界,共享证据组,来源编号
MAP0089,K4,B031,中央对地方一般公共预算转移支付,区域财政支撑与再分配,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S08,B_S08
MAP0090,K4,B032,国债余额,中央债务规模起点,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S08,B_S08
MAP0091,K4,B033,地方政府一般债务余额,地方政府法定债务结构,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S08,B_S08
MAP0092,K4,B034,地方政府专项债务余额,地方政府法定债务结构,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S08,B_S08
MAP0093,K4,B035,新增地方政府债券发行额,新增预算筹資来源,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S05,B_S05
MAP0094,K4,B036,再融资地方政府债券发行额,再融资与期限置换活动,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S05,B_S05
MAP0095,K4,B037,地方政府债券到期偿还本金,到期周转需求,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S05,B_S05
MAP0096,K4,B038,地方政府债券支付利息,债券利息支出流量,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-B_S05,B_S05
MAP0097,K4,C010,国家财政科学技术支出,观察公共科技资源支持。,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-科技经费,C_S01
MAP0098,K4,C042,居民人均转移净收入,拆分居民可支配收入来源及城乡差别。,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,EG-住户调查,C_S04
MAP0099,M1,A001,国内生产总值现价总量,名义产出及收入流量的总尺度。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-国民核算,A_S01
MAP0100,M1,A002,国内生产总值实际增长（同比/季调环比）,观察实际产出变化。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-国民核算,A_S01
MAP0101,M1,A009,国民总收入现价额,核对生产所在地与居民收入归属。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-国民核算,A_S03
MAP0102,M1,A012,GDP名义同比增速,把名义规模变化与实际增长分开。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-国民核算,A_S01
MAP0103,M1,A013,GDP隐含平减指数同比变化,透明拆分名义和实际增长差异。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-国民核算,A_S01
MAP0104,M1,A041,流通中货币M0余额,交易性及储蓄性货币资产规模。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-金融统计,A_S14
MAP0105,M1,A042,狭义货币M1余额（2025新口径）,交易性及储蓄性货币资产规模。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-金融统计,A_S14
MAP0106,M1,A043,广义货币M2余额及同比增长,交易性及储蓄性货币资产规模。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-金融统计,A_S14
MAP0107,M1,A055,M2增速与GDP名义增速之差,识别货币存量与年度名义产出增长不一。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-国民核算 + EG-金融统计,A_S17
MAP0108,M1,A059,居民消费价格指数CPI及涨跌幅,居民消费价格与实际购买力的总体价格证据。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-A_S25,A_S25
MAP0109,M1,A060,核心CPI（不包括食品和能源）及涨跌幅,辅助识别食品和能源直接波动之外的价格走势。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-A_S25,A_S25
MAP0110,M1,A061,服务CPI及涨跌幅,服务消费价格变化，与住户服务支出量价分离配套。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-A_S25,A_S25
MAP0111,M1,A062,工业生产者出厂价格指数PPI及涨跌幅,工业销售价格环境，配合产量、收入和盈利分析。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-A_S26,A_S26
MAP0112,M1,A063,工业生产者购进价格指数及涨跌幅,工业中间投入成本的价格变化。,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,不得把M2同比与GDP实际同比相减称作流通速度。,EG-A_S26,A_S26
MAP0113,M2,A016,居民人均消费支出,需求端住户消费水平。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-住户调查,A_S04
MAP0114,M2,A041,流通中货币M0余额,交易性及储蓄性货币资产规模。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-金融统计,A_S14
MAP0115,M2,A042,狭义货币M1余额（2025新口径）,交易性及储蓄性货币资产规模。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-金融统计,A_S14
MAP0116,M2,A043,广义货币M2余额及同比增长,交易性及储蓄性货币资产规模。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-金融统计,A_S14
MAP0117,M2,A046,人民币各项存款余额,流动资产在部门间的配置。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-金融统计,A_S17
MAP0118,M2,A047,人民币存款增加额,识别存款部门变化方向。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-金融统计,A_S14
MAP0119,M2,R008,机构部门总储蓄,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-资金流量,R_FOF
MAP0120,M2,R014,住户部门总储蓄率,住户部门总储蓄占可支配总收入的比例。比较变化需同时看分子与分母。,活期、定期及不同部门存款变化为持币行为提供线索。,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,EG-资金流量,R_FOF
MAP0121,M3,A016,居民人均消费支出,需求端住户消费水平。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-住户调查,A_S04
MAP0122,M3,A044,人民币各项贷款余额,存量信贷资金规模与部门结构。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-金融统计,A_S17
MAP0123,M3,A045,人民币贷款新增额,期间信贷扩张及期限结构。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-金融统计,A_S14
MAP0124,M3,A048,社会融资规模存量,各融资渠道存量规模及结构。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-金融统计,A_S16
MAP0125,M3,A049,社会融资规模增量,信贷、债券及其他融资对总融资的构成。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-金融统计,A_S15
MAP0126,M3,A050,贷款市场报价利率LPR,贷款定价参考的变动。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-A_S17,A_S17
MAP0127,M3,A051,新发放贷款加权平均利率,检验贷款融资价格的实际传导。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-A_S17,A_S17
MAP0128,M3,A052,银行间人民币同业拆借和质押式回购月加权利率,短期资金价格。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-A_S14,A_S14
MAP0129,M3,A053,公开市场7天期逆回购操作利率,政策利率向短期市场利率传导的起点。,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-A_S21,A_S21
MAP0130,M3,B015,固定资产投资（不含农户）,观察投资建设投入,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-B_S02,B_S02
MAP0131,M3,B035,新增地方政府债券发行额,新增预算筹資来源,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-B_S05,B_S05
MAP0132,M3,B036,再融资地方政府债券发行额,再融资与期限置换活动,融资成本变化要结合融资主体、期限及实际活动观察。,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,EG-B_S05,B_S05
MAP0133,M4,A014,居民人均可支配收入,观察家庭消费预算基础。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-住户调查,A_S04
MAP0134,M4,A016,居民人均消费支出,需求端住户消费水平。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-住户调查,A_S04
MAP0135,M4,A044,人民币各项贷款余额,存量信贷资金规模与部门结构。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-金融统计,A_S17
MAP0136,M4,A045,人民币贷款新增额,期间信贷扩张及期限结构。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-金融统计,A_S14
MAP0137,M4,A046,人民币各项存款余额,流动资产在部门间的配置。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-金融统计,A_S17
MAP0138,M4,A047,人民币存款增加额,识别存款部门变化方向。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-金融统计,A_S14
MAP0139,M4,A048,社会融资规模存量,各融资渠道存量规模及结构。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-金融统计,A_S16
MAP0140,M4,A049,社会融资规模增量,信贷、债券及其他融资对总融资的构成。,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-金融统计,A_S15
MAP0141,M4,B001,规上工业营业收入,市场实现收入规模,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-规上工业财务,B_S01
MAP0142,M4,B003,规上工业利润总额,盈利及自筹资金能力线索,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-规上工业财务,B_S01
MAP0143,M4,B015,固定资产投资（不含农户）,观察投资建设投入,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-B_S02,B_S02
MAP0144,M4,B026,一般公共预算支出,公共支出强度与结构,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-B_S04,B_S04
MAP0145,M4,B030,政府性基金预算支出,项目及专项支出力度,流动性、授信、融资取得、支出执行及收入形成是不同环节。,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,EG-B_S04,B_S04
MAP0146,F1,A044,人民币各项贷款余额,存量信贷资金规模与部门结构。,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-金融统计,A_S17
MAP0147,F1,A045,人民币贷款新增额,期间信贷扩张及期限结构。,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-金融统计,A_S14
MAP0148,F1,A048,社会融资规模存量,各融资渠道存量规模及结构。,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-金融统计,A_S16
MAP0149,F1,A049,社会融资规模增量,信贷、债券及其他融资对总融资的构成。,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-金融统计,A_S15
MAP0150,F1,B005,规上工业负债合计,债权性与经营性负债压力起点,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-规上工业财务,B_S01
MAP0151,F1,B032,国债余额,中央债务规模起点,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S08,B_S08
MAP0152,F1,B033,地方政府一般债务余额,地方政府法定债务结构,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S08,B_S08
MAP0153,F1,B034,地方政府专项债务余额,地方政府法定债务结构,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S08,B_S08
MAP0154,F1,B035,新增地方政府债券发行额,新增预算筹資来源,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S05,B_S05
MAP0155,F1,B036,再融资地方政府债券发行额,再融资与期限置换活动,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S05,B_S05
MAP0156,F1,B053,经常账户差额,居民与非居民经常交易净额,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S15,B_S15
MAP0157,F1,B054,国际收支货物差额,货物交易净流入,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S15,B_S15
MAP0158,F1,B055,国际收支服务差额,服务贸易净需求,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S15,B_S15
MAP0159,F1,B056,初次收入差额,对外收入分配净额,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S15,B_S15
MAP0160,F1,B057,直接投资负债交易净额,对内直接投资的跨境交易流量,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,EG-B_S15,B_S15
