记录类型,记录编号,问题编号,指标编号,维度编号,维度/层级,覆盖状态,已核验成员/分类,来源编号,覆盖依据,限制/版本,核验性质
覆盖检查,CV00984,K3,A062,DIM-FIRM,企业类型,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00985,M1,A062,DIM-FIRM,企业类型,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00986,S4,A062,DIM-FIRM,企业类型,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00987,K1,A062,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00988,K3,A062,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00989,M1,A062,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00990,S4,A062,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00991,K1,A062,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00992,K3,A062,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00993,M1,A062,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00994,S4,A062,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00995,K1,A063,DIM-NAT,全国,已覆盖,工业企业中间投入品采购,A_S26,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00996,K3,A063,DIM-NAT,全国,已覆盖,工业企业中间投入品采购,A_S26,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00997,M1,A063,DIM-NAT,全国,已覆盖,工业企业中间投入品采购,A_S26,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00998,S4,A063,DIM-NAT,全国,已覆盖,工业企业中间投入品采购,A_S26,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00999,K1,A063,DIM-PROV,省级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01000,K3,A063,DIM-PROV,省级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01001,M1,A063,DIM-PROV,省级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01002,S4,A063,DIM-PROV,省级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01003,K1,A063,DIM-PREF,地级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01004,K3,A063,DIM-PREF,地级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01005,M1,A063,DIM-PREF,地级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01006,S4,A063,DIM-PREF,地级,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01007,K1,A063,DIM-IND,行业,部分覆盖,燃料动力；黑色金属材料；有色金属材料及电线；化工原料；木材及纸浆；建筑材料及非金属；其他工业原材料及半成品；农副产品；纺织原料,A_S26,表二列9大购进类别,为采购品分类而非企业行业全矩阵。,已读原表/定义；仅所列范围
覆盖检查,CV01008,K3,A063,DIM-IND,行业,部分覆盖,燃料动力；黑色金属材料；有色金属材料及电线；化工原料；木材及纸浆；建筑材料及非金属；其他工业原材料及半成品；农副产品；纺织原料,A_S26,表二列9大购进类别,为采购品分类而非企业行业全矩阵。,已读原表/定义；仅所列范围
覆盖检查,CV01009,M1,A063,DIM-IND,行业,部分覆盖,燃料动力；黑色金属材料；有色金属材料及电线；化工原料；木材及纸浆；建筑材料及非金属；其他工业原材料及半成品；农副产品；纺织原料,A_S26,表二列9大购进类别,为采购品分类而非企业行业全矩阵。,已读原表/定义；仅所列范围
覆盖检查,CV01010,S4,A063,DIM-IND,行业,部分覆盖,燃料动力；黑色金属材料；有色金属材料及电线；化工原料；木材及纸浆；建筑材料及非金属；其他工业原材料及半成品；农副产品；纺织原料,A_S26,表二列9大购进类别,为采购品分类而非企业行业全矩阵。,已读原表/定义；仅所列范围
覆盖检查,CV01011,K1,A063,DIM-FIRM,企业类型,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01012,K3,A063,DIM-FIRM,企业类型,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01013,M1,A063,DIM-FIRM,企业类型,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01014,S4,A063,DIM-FIRM,企业类型,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01015,K1,A063,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01016,K3,A063,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01017,M1,A063,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01018,S4,A063,DIM-HH,居民群体,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01019,K1,A063,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01020,K3,A063,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01021,M1,A063,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01022,S4,A063,DIM-SEC,机构部门,无稳定公开数据,,A_S26,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01023,K1,B001,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01024,M4,B001,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01025,F2,B001,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01026,I3,B001,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01027,S4,B001,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01028,D1,B001,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01029,K1,B001,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01030,M4,B001,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01031,F2,B001,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01032,I3,B001,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01033,S4,B001,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01034,D1,B001,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01035,K1,B001,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01036,M4,B001,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01037,F2,B001,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01038,I3,B001,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01039,S4,B001,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01040,D1,B001,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01041,K1,B001,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01042,M4,B001,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01043,F2,B001,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01044,I3,B001,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01045,S4,B001,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01046,D1,B001,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01047,K1,B001,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01048,M4,B001,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01049,F2,B001,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01050,I3,B001,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01051,S4,B001,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01052,D1,B001,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01053,K1,B001,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01054,M4,B001,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01055,F2,B001,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01056,I3,B001,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01057,S4,B001,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01058,D1,B001,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01059,K1,B001,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01060,M4,B001,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01061,F2,B001,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01062,I3,B001,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01063,S4,B001,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01064,D1,B001,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01065,F2,B002,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01066,D1,B002,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01067,F2,B002,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01068,D1,B002,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01069,F2,B002,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01070,D1,B002,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01071,F2,B002,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01072,D1,B002,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01073,F2,B002,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01074,D1,B002,DIM-FIRM,企业类型,部分覆盖,国有控股企业；股份制企业；外商及港澳台投资企业；私营企业,B_S01,表1及表2经济类型分组,类型交叉不可加总；不是规模以下或全部私营企业。,已读原表/定义；仅所列范围
覆盖检查,CV01075,F2,B002,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01076,D1,B002,DIM-HH,居民群体,不适用,,B_S01,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01077,F2,B002,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01078,D1,B002,DIM-SEC,机构部门,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01079,K1,B003,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01080,M4,B003,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01081,F2,B003,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01082,I3,B003,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01083,S4,B003,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01084,D1,B003,DIM-NAT,全国,已覆盖,规上工业法人合计,B_S01,正文与表1—3；门槛2000万元。,,已读原表/定义；仅所列范围
覆盖检查,CV01085,K1,B003,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01086,M4,B003,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01087,F2,B003,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01088,I3,B003,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01089,S4,B003,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01090,D1,B003,DIM-PROV,省级,无稳定公开数据,,B_S01,本页没有31省表,逐省公开连续性未核验。,已读原表/定义；仅所列范围
覆盖检查,CV01091,K1,B003,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01092,M4,B003,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01093,F2,B003,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01094,I3,B003,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01095,S4,B003,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01096,D1,B003,DIM-PREF,地级,无稳定公开数据,,B_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01097,K1,B003,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01098,M4,B003,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01099,F2,B003,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01100,I3,B003,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
覆盖检查,CV01101,S4,B003,DIM-IND,行业,部分覆盖,采矿业；制造业；电力、热力、燃气及水生产和供应业；汽车制造业；电气机械和器材制造业；计算机、通信和其他电子设备制造业,B_S01,表1三大门类、表3行业收入成本利润,财务比率行业细分仅核验三大门类；非所有财务存量按行业发布。,已读原表/定义；仅所列范围
