来源编号,发布主体,标题,公开原文链接,定义入口,发布日,读取日,报告期,发布节奏,表/节/脚注位置,已读定义依据,历史/制度证据,范围依据,限制
B_S14,财政部,关于印发《金融企业准备金计提管理办法》的通知,https://jrs.mof.gov.cn/zhengcefabu/cwjx/202006/t20200602_3524593.htm,https://jrs.mof.gov.cn/zhengcefabu/cwjx/202006/t20200602_3524593.htm,2012-04-17,2026-09-15,制度定义,制度变更时,第三条,区分资产减值准备与一般准备；不良贷款拨备覆盖率分子为贷款损失准备，分母不良贷款余额。,网页署发文日期2012-03-30，发布日2012-04-17，2012-07-01施行；仅作准备和比率概念交叉核验，具体统计用当期监管表。,适用的金融企业范围大于商业银行统计范围。,不能把一般准备与贷款损失准备加总后套用监管表；本文不用于认定2026单家银行监管要求。
B_S15,国家外汇管理局,国家外汇管理局公布2025年四季度及全年我国国际收支平衡表,https://www.safe.gov.cn/safe/2026/0327/27297.html,https://www.safe.gov.cn/safe/2026/0327/27297.html,2026-03-27,2026-09-15,2025年第四季度及全年,季度、年度,全年概览表行1—40、脚注1—8,BPM6；贷方正借方负，差额为两者之和；金融账户含储备；季度人民币按当季平均汇率折算再累加。,本次修订2019年以来各季，声明最新以统计数据栏目为准；2025年新增收益、部门和期限细项。,全国居民与非居民交易；概览功能账户，本页不提供31省及行业。,金融账户符号不能按旧版反转；直接投资负债净流量与商务部实际使用外资不同；不由差额推断资本外逃。
B_S16,国家外汇管理局,国家外汇管理局公布2025年末我国国际投资头寸表,https://www.safe.gov.cn/safe/2026/0327/27298.html,https://www.safe.gov.cn/safe/2026/0327/27298.html,2026-03-27,2026-09-15,2025年末,季度,概览表资产、负债、净头寸及说明,净头寸=对外金融资产−对外负债；直接/证券/衍生/其他/储备分列，股权与债务工具分列。,本次修订2024年以来各季；2025年末新增部门与期限数据。,全国；直接投资分金融和非金融部门，其他投资按工具。,包含股权的对外负债不是外债；头寸变动含汇率价格等估值不能当资本流量；净资产不代表所有部门流动性充足。
B_S17,国家外汇管理局,国家外汇管理局公布2025年末中国全口径外债数据,https://www.safe.gov.cn/safe/2026/0327/27301.html,https://www.safe.gov.cn/safe/2026/0327/27301.html,2026-03-27,2026-09-15,2025年末,季度,正文期限/部门/币种段；附表及脚注,含本外币，对非居民偿还义务；不含港澳台自身外债；短长按签约期限；部门工具分列。,2025年末起健全修订机制；时间序列入口B_S18明示2014年12月末以来。,全国；广义政府、央行、其他存款公司、其他部门、直接投资公司间贷款。,签约短期不能替代剩余期限一年到期债务；本币外债仍是外债；债务率国际参考线不足以单独判安全。
B_S18,国家外汇管理局,中国全口径外债情况表时间序列数据（2014年12月末以来）,https://www.safe.gov.cn/safe/2018/0329/8810.html,https://www.safe.gov.cn/safe/2018/0329/8810.html,2026-06-26,2026-09-15,2014年12月末以来（标题口径）,季度滚动更新,中国外债栏目附件入口,页面列全口径外债时间序列附件；具体部门与期限解释采用B_S17。,实际打开页面核实标题、2026-06-26更新日和附件，不声称逐个历史单元格验证。,全国时间序列入口。,本轮未逐期检查附件完整性；2025原值样例采用3月版本，使用时应检查6月修订。
B_S19,国家统计局（货物贸易数据来源海关总署）,中华人民共和国2025年国民经济和社会发展统计公报,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,https://xzfg.moj.gov.cn/front/law/detail?LawID=700,2026-02-28,2026-09-15,2025年,年度,七、对外经济，表10—13；注释与资料来源,货物贸易统计与服务贸易分列，表10一般/加工贸易及产品分类；资料来源明确货物贸易来自海关总署。,公报图示近年序列；2025月报原值对比公报有小额修订，不混用。,全国；主要商品和伙伴、部分企业性质/贸易方式。,不将商品分类等同国民经济行业；伙伴不是省份；2025出口1月发布269892亿元、公报269890亿元。
B_S20,国务院；司法部国家行政法规库,中华人民共和国海关统计条例,https://xzfg.moj.gov.cn/front/law/detail?LawID=700,https://xzfg.moj.gov.cn/front/law/detail?LawID=700,2022-03-29,2026-09-15,现行修订文本,制度变更时,第四至十三条、第十七条,按实际进出境引起境内物质存量变化货物统计；进口到岸、出口离岸；国家、货源地、贸易方式、时间均有定义。,第十七条规定定期公开制度；原文提供2005公布、2022修订沿革。,海关统计地域与货物口径；不是居民所有权转换口径。,不能与BPM6货物、国民核算净出口直接替换；属定义来源，未替代逐省统计表验证。
C_S01,国家统计局、科学技术部、财政部,2024年全国科技经费投入统计公报,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html,2025-09-29,2026-09-15,2024年；2023年强度修订值,年,一、研发经费；二、财政科技支出；附表1、2；附注1—3,研发经费为报告期实施研发实际发生支出；基础、应用、试验发展分别定义；工业强度分母营业收入，全社会强度分母GDP。统计范围及全面/抽样/重点/资料推算法明确。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,附表2逐行列31省研发经费、强度；附表1列规上工业行业；正文列企业、政府研究机构、高校执行主体。,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。
C_S02,国家统计局,中华人民共和国2025年国民经济和社会发展统计公报,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,2026-02-28,2026-09-15,2025年,年,第一、九、十、十二部分及注1、4—6、63—64、70—71、88,全员劳动生产率按2020价GDP/全部就业人员；全国人口含31省和现役军人，不含境内港澳台及外籍人员；五等份按调查户人均收入排序分组；高价值发明专利符合五种条件之一；能耗下降指标扣除原料用能和非化石能源。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,本次直接核验全国；人口有城乡/性别/年龄、专利有境内、社保按险种，收入五组。不能因国家样本覆盖各地声称地级指标全覆盖。,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。
C_S03,教育部,2025年全国教育事业发展统计公报,https://hudong.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,https://hudong.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,2026-07-06,2026-09-15,2025年,年,综合、义务教育、高等教育；注1—5、25—29,各级学校不含军事院校和人社部门技工学校；毛入学/入园与适龄人口分母不同于净入学率；义务巩固率是同届初中毕业班与入小学一年级学生之比；高校生师比为折合在校生/专任教师。,教育部公报目录检索见历年条目；直接核验2025公报，年鉴表21-13已目视高教毛率1995—2024与义务巩固率2010—2024序列。2024教育公报直接web访问超时，未将搜索结果冒充原文核验。,全国各教育层次、普通本科/职业本科/高职及硕博；无本次已读31省统一表。,教育部中职范围与综合公报含技工学校的中职不同；毛入学率不直接衡量教学质量；公报民办义务学生占比存在待核实分母疑点，该项未纳入。
C_S04,国家统计局,2025年居民收入和消费支出情况,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html,https://www.stats.gov.cn/sj/ndsj/2025/html/zb06.pdf,2026-01-19,2026-09-15,2025年,季（累计）、年,第一部分；表1、2；附注调查方法和指标解释,收入中位数按调查户人均收入排序；住户收支为16万户调查加权，分城乡按常住地；季度不含自产自用部分，全年包含。四类收入详细定义参见C_S12。,原文明确按季度发布；年鉴指标解释说明2012年四季度城乡一体化改革及1978—2012可比口径推算。,全国、城镇、农村中位数及四类收入；调查涉及31省不代表公开31省五等份表。,城乡人口迁移改变构成；中位数按户排序不能当个人工资中位数；四类收入占比不是国民账户要素份额。
C_S05,国家知识产权局,知识产权统计数据公开查询指引（2024版）,https://www.cnipa.gov.cn/art/2024/11/26/art_88_196286.html,https://www.cnipa.gov.cn/art/2024/11/26/art_88_196286.html,2024-11-26,2026-09-15,截至2023年度的查询体系,月、年,一至四；表1—4及历史数据链接,月报授权/有效量按国内外、权利人类型；年报另列地区/IPC；有效量历史起于2006，申请授权起于1985。,原文给出1985—2023申请授权、2006—2023有效、2011—2023 PCT历史表链接及每月/每年发布机制。,确认有分省、申请人类型、IPC表目录；本轮未逐表读取，不能宣称当年全部细分值已核验。,指引为发布机制证据，不代替2025原值；IPC分类不能直接当国民经济行业分类。
C_S06,国家知识产权局,2025年中国专利调查报告,https://www.cnipa.gov.cn/art/2026/4/1/art_88_205590.html,https://www.cnipa.gov.cn/module/download/downfile.jsp?classid=0&filename=8e0b75d761dd47fdb55f998802fa4219.pdf,2026-04-01,2026-09-15,2025年调查；抽样框截至2024年底；2021—2025比较,年,PDF印刷页22—29、82—84、91—97、163—164（PDF页+7）,产业化率：生产出产品并投放市场的专利占有效专利；专利收益自转化运用日至调查日累计，不是单年利润。分层加权调查，有效企业样本12439、专利34461；样本涉及27省。,报告前言明确年度调查；第三部分直接给2021—2025连续数据；产业化平均收益2021首次测算。,有效专利企业；大型/中型/小型/微型，部分国民经济行业及东中西东北/重点区域；不覆盖无专利企业，高校科研院所不是本年调查对象。,涉及27省不等于公开27省完整结果；调查选择和专利年龄影响收益；平均收益不能除当年研发得到ROI。
C_S07,国家医疗保障局,2025年全国医疗保障事业发展统计公报,https://www.nhsa.gov.cn/art/2026/7/16/art_7_21451.html,https://www.nhsa.gov.cn/art/2026/7/16/art_7_21451.html,2026-07-16,2026-09-15,2025年,年,一基本医保；二生育；三救助；七长期护理；说明,职工和城乡居民分制度；职工基金含生育，统筹/个人账户分开；住院费用目录内支付比例分医院级别；医疗救助资助参保人数不含其他部门资助。,图题列2020—2025；已访问2024公报、2025快报和2025正式公报。,全国、职工/居民、在职/退休、医院等级；企业/机关事业/灵活就业仅参保人数细分。,正式公报医保参保133069.39万人、基金收入35921.32亿元、支出30055.19亿元，与3月快报略异，应保存版本。2025长护险扩大到所有实施地区，2023生育待遇人次加入产检，不拼接为同口径增长。
C_S08,交通运输部,2025年交通运输行业发展统计公报,https://xxgk.mot.gov.cn/jigou/zhghs/202606/t20260618_4207752.html,https://xxgk.mot.gov.cn/jigou/zhghs/202606/t20260618_4207752.html,2026-06-22,2026-09-15,2025年,年,一基础设施；注释1—6,铁路营业、公路、内河通航均年末里程；营运货运不含管道，跨区域流动不含城市内客运，城市客运另列。,本文图题明确2021—2025铁路/公路等序列；年度行业公报。,全国按运输方式；公路有技术和行政等级，航道有等级；本轮未核验省或城市里程统一表。,里程是物理供给量，不能证明可达性、利用率或投资收益；路网统计口径可能调整，公路客运增速按可比口径。
C_S09,国家能源局,国家能源局发布2025年全国电力统计数据,https://www.nea.gov.cn/20260129/6874f211acd0417eab7ac10c3061a7c2/c.html,https://www.nea.gov.cn/20260129/6874f211acd0417eab7ac10c3061a7c2/c.html,2026-01-29,2026-09-15,2025年末、2025全年,月（累计）、年,正文及全国电力统计数据一览表,装机为截至统计月累计装机；平均利用小时正文范围全国6000千瓦及以上电厂；表内▲是百分点、*是绝对量。,能源局栏目已见2025年1—11月、全年等月度发布；本页给全年及同比。,全国装机按水电/火电/核电/风电/太阳能；平均利用小时本页只给总值；不推断分能源利用小时完整连续公开。,装机是容量而非供电量；新增低利用小时机组改变总平均，不能把下降全部归因于需求弱。
C_S10,国家统计局,中国统计年鉴2025：表2-11分地区人口年龄构成和抚养比（2024年）,https://www.stats.gov.cn/sj/ndsj/2025/html/C02-11.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/zb02.pdf,,2026-09-15,2024年,年,表头说明、全国行及31省；人口指标解释p46,表内人口为2024人口变动抽样调查样本数，抽样比1.028‰；总抚养比=(0—14+65岁以上)/15—64；单位样本人数为人。,年鉴为年度序列；本轮只目视2024该表，不声称已核验历年省表。,全国样本及31省样本、0—14/15—64/65+，列总/少儿/老年抚养比。,绝不能把1447437人全国样本数当全国人口；此处劳动年龄15—64与综合公报16—59不同。
C_S11,国家统计局,中国统计年鉴2025：科技活动基本情况及科学技术指标解释,https://www.stats.gov.cn/sj/ndsj/2025/html/C20-01.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/zb20.pdf,,2026-09-15,2020—2024年,年,表20-1；科学技术解释p651—652,研发人员全时当量是实际研发时间折合人年；研发人员含直接管理服务而不含间接服务；内部研发支出剔除转拨外单位经费。,已目视表20-1的2020—2024数据；专利申请2017起由受理数改为申请数脚注；GDP分母用最新核实数据修订。,全国、基础/应用/试验发展，R&D资金来源政府/企业；本次没有31省全社会FTE表。,全时当量非人数；研发执行主体企业与资金来源企业不同。
C_S12,国家统计局,中国统计年鉴2025：人民生活主要统计指标解释,https://www.stats.gov.cn/sj/ndsj/2025/html/zb06.pdf,https://www.stats.gov.cn/sj/ndsj/2025/html/zb06.pdf,,2026-09-15,方法定义,随年鉴,p194,工资覆盖报酬福利；经营净收入扣成本折旧生产税；财产净收入排除转让资产所有权的价差；转移净收入为转入减转出；城乡常住人口调整。,原文说明2012Q4改革及历史重估；配合C_S04当年值。,定义覆盖全国/城乡住户指标。,不能把净财产收入解释为资产市值变化；不能把净转移全当政府现金补贴。
C_S13,国家统计局,中国统计年鉴2025：表20-4规模以上工业企业科技活动基本情况,https://www.stats.gov.cn/sj/ndsj/2025/html/C20-04.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/zb20.pdf,,2026-09-15,2004、2009、2023、2024年,年,表20-4新产品销售及企业基本情况；脚注,新产品销售收入依科技指标解释，包含认定有效期新产品及企业自行研发投产两年内新产品；有研发活动企业比重分母为规上工业企业。,已目视列2004、2009、2023、2024；2011规上门槛500万元改2000万元脚注。,全国规上工业；分省R&D相关表20-7已另下载并定位，但本轮未完成新产品分省表核验。,不是全社会；跨期企业样本变动；新产品不必是世界首创，收入不等于增加值或利润。web图片读取超时，官网原图已直接下载并目视核验。
C_S14,国家统计局,中国统计年鉴2025：义务教育巩固率、高中阶段和高等教育毛入学率,https://www.stats.gov.cn/sj/ndsj/2025/html/C21-13.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/C21-13.jpg,,2026-09-15,1995—2024年（义务巩固率2010年起）,年,表21-13及年度列,原表列义务教育巩固率、高中与高等教育毛入学率，单位%；用以校验长期发布和历史值，表内未详列高等教育年龄分母。,已目视1995—2024高教毛率序列，2024为60.8%，2020为54.4%；义务巩固率2010起。,全国；未核验分省。,表内未详述年龄分母；完整定义已另由C_S18教育部原始DOCX核验。不能用此历史表证明省级覆盖。
C_S15,国家统计局,2025年城镇单位就业人员年平均工资情况,https://www.stats.gov.cn/sj/zxfb/202605/t20260515_1963707.html,https://www.stats.gov.cn/sj/zxfb/202605/t20260515_1963707.html,2026-05-15,2026-09-15,2024—2025年,年,正文三部分；表1—8；附注1—6,平均工资=就业人员工资总额/就业人员平均人数；税前含个人税费及社保公积金代扣，含实物；不含单位工会经费支出、入股分红、股权激励兑现及资本性收益。城镇地域5人及以上法人单位，不含个体工商户和自由职业者；2025统计306.2万家。,本篇表1—5有2024、2025年度对照；表6—8有2025岗位分组，正文同时给规上2024对比；根据企业一套表与劳动工资年报，以全面调查和抽样调查结合。,已逐表读取：全国、东中西东北四大区域；非私营19行业、私营18行业、规上16行业×5岗位；非私营与规上均有内资、港澳台、外商登记类别。,四区域汇总不证明31省或地级逐项公开。2023登记类型改用国统字〔2023〕14号；行业GB/T4754-2017，岗位按职业分类大典2022年版。非私营不等于国有。
C_S16,科技部；北京市政府官网转载,技术合同认定规则（2001年规则官方转载）,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202402/t20240207_3559191.html,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202402/t20240207_3559191.html,2024-02-07,2026-09-15,2001年7月18日起的历史认定规则,制度文件,第七章第51—52条；第54条,合同交易总额为技术合同成交项目总金额；技术交易额扣除设备仪器零部件原材料等非技术性费用，合理数量标的物直接成本例外；技术性收入指履约所得价款、使用费和报酬。,原文第54条自2001年7月18日起施行；用于解释2025年以前口径，2026新办法另见C_S17。,全国性技术合同认定规则，转载网页并非北京市单独统计口径。,认定登记交易不是全部市场交易；成交总额、技术交易额和实际技术性收入不同。不可用2026年新规则倒推2025分类。
C_S17,工业和信息化部；苏州工业园区官网转载附件全文,工业和信息化部关于印发《技术合同认定登记管理办法》的通知（工信部科〔2026〕18号）,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2026/art_ccf28613115d4960810b3b68253b0a25.html,https://www.sipac.gov.cn/kjhxxhj/kjzc/202602/0a0c8ecfbde145b3a2e5aa31b625fa8d.shtml,2026-02-09,2026-09-15,2026年3月1日起,制度文件,工信部原文通知；官方转载管理办法第4、10、15、31条及附件规则第30—32、37条,技术合同成交额为约定成交总金额，技术交易额为其中技术交易部分；里程碑和提成支付按实现金额登记；自愿登记，原则卖方所在地一次登记，可协商买方登记；合同变更须更正。,通知成文2026-01-23、发布2026-02-09；管理办法第31条自2026-03-01施行。,全国认定登记规则；现行分类增加单列技术许可，与历史分类比较需核查。,仅作为2026起制度变更风险提示，未据其重写2025原值。原部委页面附件未直接解析，完整条文已在政府官网转载逐条读取。
C_S18,教育部,教育部关于印发《中国教育监测与评价统计指标体系（2020年版）》的通知及原始附件,https://www.moe.gov.cn/srcsite/A03/s182/202101/t20210113_509619.html,https://www.moe.gov.cn/srcsite/A03/s182/202101/W020210113546624017867.docx,2021-01-13,2026-09-15,2020年版统计指标体系,制度文件,原DOCX第13项毛入学率、（4）高等教育；第14项义务教育巩固率；抽取段落349—381,高教毛入学率=高等教育在学总规模/18～22岁年龄组人口×100；在学规模=普通本专科+研究生+军事院校本专科+其他学历教育折合学生，其他含成人、网络、自考；第13项说明高等教育只适用于国家级。,教育部2020-12-23成文，2021-01-13发布；修订2015指标体系。,高等教育毛入学率只适用于国家级；义务教育巩固率建议国家级，省级须进一步处理跨地区流动。,web原页/附件超时或重定向；官网HTML通过HTTP读取附件href，再从同域携User-Agent和Referer下载原DOCX成功（190860字节），解压XML核读；没有使用搜索摘要充当原定义。折合规则未逐项明细公开于该段，不自行用学校人数求和复算。
R_FOF,国家统计局,中国统计年鉴2025 表3-15资金流量表（非金融交易，2023）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/zb03.pdf,,2026-09-15,2023年,年度；分类标准随版本修订,表3-15；指标解释印刷页98—100；国民核算简要说明,记录部门收入、使用与资金余缺。实际最终消费按最终受益者归属，仍为当年价格；不是不变价消费。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,非金融企业、金融机构、广义政府、住户、国外和国内合计；运用与来源分别列示。,2023普查后修订1992年以来非金融交易历史数据；金额亿元；存在统计差额。
R_NA_NOTE,国家统计局,中国统计年鉴2025 国民经济核算简要说明,https://www.stats.gov.cn/sj/ndsj/2025/html/sm03.htm,https://www.stats.gov.cn/sj/ndsj/2025/html/sm03.htm,,2026-09-15,2024年；依表标注,年度；分类标准随版本修订,国内生产总值、资金流量表两节,GDP历史和资金流量历史已作普查修订；部分活动仅计入全国，地区GDP加总不必等于全国。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,全国、31省统一核算；机构部门核算,表中最新年并非最终数。
R_REGION_GDP,国家统计局,中国统计年鉴2025 表3-9地区生产总值,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-09.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-09.jpg,,2026-09-15,2024年；依表标注,年度；分类标准随版本修订,表3-9全部地区行和列头,金额为当年价格，增速指数按可比价格；分列三次产业、主要行业、人均GDP。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,31个省级地区的2024年GDP及主要行业列,主要行业不是全部97大类；表内空白不填零。
R_REGION_INCOME,国家统计局,中国统计年鉴2025 表6-18分地区居民人均可支配收入,https://www.stats.gov.cn/sj/ndsj/2025/html/C06-18.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/C06-18.jpg,,2026-09-15,2024年；依表标注,年度；分类标准随版本修订,表6-18，2018—2024年列,住户调查人均可支配收入；单位元。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,全国和31省年度总居民人均收入,本表不含城市×收入五等份；分省总量不代表居民分布。
R_REGION_INVESTMENT,国家统计局,中国统计年鉴2025 表10-18分地区各行业固定资产投资比上年增长情况,https://www.stats.gov.cn/sj/ndsj/2025/html/C10-18.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/C10-18.jpg,,2026-09-15,2024年；依表标注,年度；分类标准随版本修订,表10-18，2024年,各地区按所列行业给出同比增长百分比。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,31省目录及表列行业交叉，部分单元空缺,不能由增长率逆推出未公布的投资金额，不对空白补零。
R_REGION_UNITS,国家统计局,中国统计年鉴2025 表1-5分地区按主要行业分法人单位数,https://www.stats.gov.cn/sj/ndsj/2025/html/C01-05.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/C01-05.jpg,,2026-09-15,2024年；依表标注,年度；分类标准随版本修订,表1-5,法人单位计数，按地区及主要行业列示。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,31省×表列主要行业,法人单位数不等于实际活跃企业数，不能由此推算企业进入退出率。
R_REGION_ADMIN,国家统计局,中国统计年鉴2025 表1-1全国行政区划,https://www.stats.gov.cn/sj/ndsj/2025/html/C01-01.jpg,https://www.stats.gov.cn/sj/ndsj/2025/html/C01-01.jpg,,2026-09-15,2024-12-31,年度；分类标准随版本修订,2024年底，各省地级/县级分类数量,地级行政区划数含地级市、地区、自治州、盟，直辖市不计入地级行政区划数。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,31省及下辖地级数量；全国地级333个，地级市293个,只验证2024年底分类数量；不提供2026年全部地级名称及逐指标覆盖。
R_CLASS_NOTE,国家统计局,国民经济行业分类包括哪些类别,https://www.stats.gov.cn/zs/tjws/tjbz/202301/t20230101_1903769.html,https://www.stats.gov.cn/zs/tjws/tjbz/202301/t20230101_1903769.html,2025-03-21,2026-09-15,现行标准说明,年度；分类标准随版本修订,正文现行分类和编码层次,GB/T4754—2017并按第1号修改单修订，20门类、97大类、473中类、1382小类。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,全行业分类层次,分类存在不代表所有分类单元有公开统计指标。
R_INDUSTRY,国家统计局,国民经济行业分类（按第1号修改单修订）,https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/202501/P020250116506795831658.pdf,https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/202501/P020250116506795831658.pdf,,2026-09-15,GB/T4754—2017及第1号修改单,年度；分类标准随版本修订,分类代码表与说明,行业按照经济活动性质分类；专题产业需另行映射。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,A—T门类及细分行业代码,跨版本需映射，不机械拼接。
R_CITY_NOTE,国家统计局,什么是城市高质量发展统计监测,https://www.stats.gov.cn/zs/tjws/tjdc/202301/t20230101_1903449.html,https://www.stats.gov.cn/zs/tjws/tjdc/202301/t20230101_1903449.html,2025-04-27,2026-09-15,现行统计制度说明,年度；分类标准随版本修订,调查范围、来源与发布方式,地级以上城市年度统计，区分全市与市辖区；资料来自已有统计和行政记录。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,全国地级以上城市的统计制度范围；公开指标还需逐表核验,制度覆盖不等于本项目取得每个城市全部免费数据；自治州等地级单位不能凭该文自动视为城市调查样本。
R_GEO_RULE,国家统计局,统计用区划代码和城乡划分代码编制规则,https://www.stats.gov.cn/sj/tjbz/gjtjbz/202302/t20230213_1902741.html,https://www.stats.gov.cn/sj/tjbz/gjtjbz/202302/t20230213_1902741.html,2009-11-25,2026-09-15,代码规则,年度；分类标准随版本修订,代码结构与县以上编码方法,县以上代码使用行政区划代码标准；统计用代码还包含乡村层级。,已核验2025年鉴目录、表图与适用说明；不声称逐年连续序列全部已复核。,省、地、县层级编码含义,不作为2026年实体名单；区划与研究年度绑定。
E_S01,国家统计局,2025年12月份规模以上工业增加值增长5.2%,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962329.html,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962329.html,2026-01-19,2026-09-15,2025年12月、1—12月,月度（1月免报）,正文、工业生产主要数据表、附注1—5,工业增加值增速剔除价格；销售率的分母为工业总产值；出口交货含自营、委托和交外贸部门出口；范围为年主营业务收入2000万元及以上工业企业。,附注规定月度全面调查、1月免报；本页有2024年12月至2025年12月季调环比表，未逐年下载历史全库。,全国规上工业；三大门类、主要行业、经济类型；主要产品产量。,样本进退和跨地区集团重复值剔除改变同期基数；GB/T 4754—2017；季调环比会修订；产品和行业的分类成员不能机械相加。
E_S02,国家统计局,2025年四季度全国规模以上工业产能利用率为74.9%,https://www.stats.gov.cn/sj/zxfbhjd/202601/t20260119_1962320.html,https://www.stats.gov.cn/sj/zxfbhjd/202601/t20260119_1962320.html,2026-01-19,2026-09-15,2025年四季度、全年,季度,正文及产能利用率表；附注1—3,实际产出与可长期维持的生产能力均以价值量计量；规上大中型全面调查、规上小微抽样，总计约11万家；小微推算总体后合成。,明确按季调查，原文表列当季和全年及上年同期差；未经季调。,全国、三大门类及15个主要行业表列值。,不等于设计产能的物理开工率、潜在GDP或TFP；未经季调，季度环比受季节因素影响；不同调查与工业财务样本非企业级一一配对。
E_S03,国家统计局,正确解读服务业生产指数,https://www.stats.gov.cn/zs/tjws/zytjzbqs/fwysczs/202502/t20250226_1958805.html,https://www.stats.gov.cn/zs/tjws/zytjzbqs/fwysczs/202502/t20250226_1958805.html,2025-02-26,2026-09-15,方法解释及2020—2022年历史示例,月度,第一部分（一）—（三）、第二部分,以上年同期为基期的不变价产出变化；覆盖13个门类中的40个大类，仅市场性活动；服务业增加值范围更广。,明确2017年起发布，并展示2020—2022年月度及累计历史例子。,全国指数；行业范围定义不等于所有40个大类均有公开分项序列。,仅同比增长、无该指数官方环比；科研、教育、卫生社会工作中的非市场活动不纳入；不能替代全部第三产业增加值。
E_S04,国家统计局,2025年经济发展向新向优 预期目标圆满实现,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962330.html,https://www.stats.gov.cn/zs/tjws/zytjzbqs/fwysczs/202502/t20250226_1958805.html,2026-01-19,2026-09-15,2025年12月、全年,月度,正文第三部分；附表第四项,服务业生产指数实际口径见E_S03；本次发布12月同比5.0%、全年同比5.5%。,月度国民经济发布，附表有当月和累计；连续发布机制与E_S03历史解释互证。,全国服务业生产指数；12月信息传输软件和信息技术、租赁商务、金融业三项分行业增速。,正文全年服务业增加值5.4%不是服务业生产指数5.5%；正文1—11月营业收入非12月或全年。
E_S05,国家统计局,2025年12月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962319.html,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962319.html,2026-01-19,2026-09-15,2025年12月、1—12月平均,月度,表1—4及附注1—4,城市范围为市辖区、不含县；新房用当地网签全面调查，二手房重点与典型调查结合；无成交月份按价格无变动处理。,本次月度表有环比、同比和全年平均指数；与2026年1月E_S06连续月份互证，不宣称已归档所有历史。,表1新建商品住宅、表2二手住宅均列70城；表3—4有90平方米及以下、90—144平方米、144平方米以上分组。,70城不可代表所有地级地区；房价指数不是金额均价或全国指数；无成交视不变可能掩盖流动性变化；需标记基期轮换。
